0x000 NULL
0x001 FIN
0x002 SYN
0x003 FIN-SYN
0x004 RST
0x008 PSH
0x009 FIN-PSH
0x00A SYN-PSH
0x00B FIN-SYN-PSH
0x010 ACK
0x011 FIN-ACK
0x012 SYN-ACK
0x013 FIN-SYN-ACK
0x014 RST-ACK
0x018 PSH-ACK
0x019 FIN-PSH-ACK
0x01A SYN-PSH-ACK
0x01B FIN-SYN-PSH-ACK
0x040 ECE
0x041 FIN-ECE
0x042 SYN-ECE
0x043 FIN-SYN-ECE
0x048 PSH-ECE
0x049 FIN-PSH-ECE
0x04A SYN-PSH-ECE
0x04B FIN-SYN-PSH-ECE
0x050 ACK-ECE
0x051 FIN-ACK-ECE
0x052 SYN-ACK-ECE
0x053 FIN-SYN-ACK-ECE
0x058 PSH-ACK-ECE
0x059 FIN-PSH-ACK-ECE
0x05A SYN-PSH-ACK-ECE
0x05B FIN-SYN-PSH-ACK-ECE
0x080 CWR
0x081 FIN-CWR
0x082 SYN-CWR
0x083 FIN-SYN-CWR
0x088 PSH-CWR
0x089 FIN-PSH-CWR
0x08A SYN-PSH-CWR
0x08B FIN-SYN-PSH-CWR
0x090 ACK-CWR
0x091 FIN-ACK-CWR
0x092 SYN-ACK-CWR
0x093 FIN-SYN-ACK-CWR
0x098 PSH-ACK-CWR
0x099 FIN-PSH-ACK-CWR
0x09A SYN-PSH-ACK-CWR
0x09B FIN-SYN-PSH-ACK-CWR
0x0C0 ECE-CWR
0x0C1 FIN-ECE-CWR
0x0C2 SYN-ECE-CWR
0x0C3 FIN-SYN-ECE-CWR
0x0C8 PSH-ECE-CWR
0x0C9 FIN-PSH-ECE-CWR
0x0CA SYN-PSH-ECE-CWR
0x0CB FIN-SYN-PSH-ECE-CWR
0x0D0 ACK-ECE-CWR
0x0D1 FIN-ACK-ECE-CWR
0x0D2 SYN-ACK-ECE-CWR
0x0D3 FIN-SYN-ACK-ECE-CWR
0x0D8 PSH-ACK-ECE-CWR
0x0D9 FIN-PSH-ACK-ECE-CWR
0x0DA SYN-PSH-ACK-ECE-CWR
0x0DB FIN-SYN-PSH-ACK-ECE-CWR
